	exact_age	length_of_residence	num_adults	gender	hh_marital_status	dwell_type	urban_rural_flag	flag_pres_kids_true	age_range
44141	27.0	2.0	3.0	1	0	1	1	0	25.5
44142	44.0	4.0	1.0	0	1	1	1	1	45.5
44143	39.0	2.0	2.0	0	0	2	1	1	35.5
44144	34.0	1.0	1.0	0	1	3	1	1	35.5
44145	56.0	1.0	1.0	0	1	1	1	1	55.5
44146	29.0	1.0	1.0	0	0	3	1	0	25.5
44147	68.0	3.0	3.0	0	0	1	1	0	65.5
44148	25.0	2.0	2.0	0	1	2	0	0	25.5
44149	58.0	7.0	4.0	0	0	1	1	1	55.5
44150	25.0	0.0	1.0	0	1	2	0	0	25.5
44151	42.0	3.0	2.0	1	0	1	1	1	45.5
44152	53.0	17.0	4.0	0	0	1	1	1	55.5
44153	28.0	20.0	4.0	0	1	1	1	0	25.5
44154	57.0	21.0	2.0	0	1	2	1	1	55.5
44155	41.0	0.0	1.0	0	1	1	1	0	45.5
44156	72.0	15.0	2.0	1	0	1	1	0	75.5
44157	55.0	25.0	6.0	0	0	1	0	1	55.5
44158	77.0	30.0	3.0	1	0	1	1	1	75.5
44159	34.0	4.0	1.0	1	1	2	1	0	35.5
44160	68.0	28.0	2.0	1	0	1	1	0	65.5
44161	23.0	13.0	4.0	1	1	1	1	1	25.5
44162	55.0	12.0	4.0	0	0	1	1	0	55.5
44163	49.0	23.0	4.0	1	0	1	1	1	45.5
44164	56.0	8.0	1.0	0	1	1	1	0	55.5
44165	45.0	19.0	2.0	1	0	1	1	1	45.5
44166	58.0	30.0	3.0	1	0	1	1	0	55.5
44167	33.0	1.0	1.0	1	1	2	1	1	35.5
44168	44.0	23.0	2.0	1	1	2	1	0	45.5
44169	59.0	24.0	4.0	1	0	1	0	0	55.5
44170	38.0	11.0	2.0	1	0	1	1	0	35.5
44171	68.0	39.0	3.0	0	0	1	1	0	65.5
44172	49.0	11.0	2.0	0	0	1	1	0	45.5
44173	25.0	4.0	3.0	0	0	1	1	0	25.5
44174	60.0	20.0	1.0	0	1	2	1	0	55.5
44175	52.0	11.0	2.0	1	0	2	1	0	55.5
44176	48.0	11.0	2.0	0	0	1	1	0	45.5
44177	70.0	1.0	2.0	0	0	1	1	0	65.5
44178	47.0	11.0	2.0	0	0	1	1	0	45.5
44179	36.0	10.0	2.0	1	0	1	1	0	35.5
44180	49.0	11.0	2.0	0	0	1	1	0	45.5
44181	86.0	11.0	2.0	1	0	1	1	0	85.5
44182	52.0	11.0	2.0	1	0	1	1	0	55.5
44183	55.0	5.0	1.0	1	1	1	1	0	55.5
44184	56.0	15.0	3.0	1	0	1	0	0	55.5
44185	60.0	11.0	2.0	0	0	1	0	0	55.5
44186	49.0	11.0	2.0	0	0	1	1	0	45.5
44187	52.0	11.0	2.0	1	0	1	1	0	55.5
44188	58.0	18.0	4.0	0	0	1	1	1	55.5
44189	66.0	14.0	3.0	0	1	1	1	1	65.5
44190	52.0	1.0	4.0	0	0	1	1	0	55.5
44191	40.0	15.0	2.0	0	0	1	0	1	35.5
44192	76.0	15.0	2.0	0	1	1	1	0	75.5
44193	52.0	11.0	2.0	1	0	1	1	0	55.5
44194	29.0	24.0	4.0	0	0	1	1	0	25.5
44195	52.0	11.0	2.0	1	0	1	1	0	55.5
44196	53.0	11.0	3.0	0	0	1	1	1	55.5
44197	73.0	15.0	2.0	0	0	3	1	1	75.5
44198	49.0	11.0	2.0	0	0	3	1	0	45.5
44199	52.0	11.0	2.0	1	0	3	1	0	55.5
44200	44.0	17.0	2.0	0	0	1	1	0	45.5
44201	56.0	22.0	4.0	0	0	1	1	0	55.5
44202	44.0	11.0	1.0	0	0	1	1	1	45.5
